Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Latitude,Longitude
14093,2021-08-10,09:29,Hyderabad,126,FIREARM OFFENSE,45,M,Poison,10,17.307738,78.491678
14094,2021-08-10,12:02,Hyderabad,297,CYBERCRIME,32,M,Explosives,1,17.445695,78.485027
14095,2021-08-10,21:35,Bhopal,536,IDENTITY THEFT,50,F,Poison,7,23.247679,77.316378
14096,2021-08-10,22:29,Mumbai,181,ROBBERY,70,F,None,4,18.90722,72.93152
14097,2021-08-10,01:00,Varanasi,164,TRAFFIC VIOLATION,36,M,Poison,19,25.299897,83.005688
14098,2021-08-10,01:55,Chennai,569,HOMICIDE,74,F,Explosives,9,13.052756,80.26573
14099,2021-08-10,12:40,Jaipur,235,ASSAULT,22,F,Firearm,16,26.832775,75.766457
14100,2021-08-10,21:20,Nagpur,197,ASSAULT,22,M,Firearm,1,21.050948,79.153878
14101,2021-08-10,03:26,Delhi,329,SHOPLIFTING,43,F,None,16,28.76391,77.002267
14102,2021-08-10,01:38,Bangalore,384,DRUG OFFENSE,16,F,Blunt Object,3,12.919372,77.522455
14103,2021-08-10,04:33,Lucknow,103,ROBBERY,59,M,Explosives,2,26.765453,80.923085
14104,2021-08-10,01:07,Patna,107,DOMESTIC VIOLENCE,50,M,None,17,25.578041,85.247255
14105,2021-08-10,17:31,Meerut,333,FRAUD,58,M,None,16,28.952368,77.704891
14106,2021-08-10,05:48,Meerut,445,KIDNAPPING,19,F,Poison,15,28.986512,77.616677
14107,2021-08-10,04:10,Mumbai,489,VANDALISM,34,F,Poison,8,18.988269,72.846567
14108,2021-08-10,13:49,Hyderabad,241,ROBBERY,15,F,Poison,14,17.36221,78.570958
14109,2021-08-10,18:20,Kanpur,173,VANDALISM,79,F,Knife,8,26.481159,80.295335
14110,2021-08-10,04:45,Faridabad,360,SEXUAL ASSAULT,71,F,Firearm,13,28.360037,77.31029
14111,2021-08-10,08:46,Jaipur,516,ROBBERY,79,M,Other,16,26.973569,75.737327
14112,2021-08-10,16:22,Kolkata,470,COUNTERFEITING,45,M,Explosives,14,22.666407,88.329824
14113,2021-08-11,15:51,Lucknow,559,HOMICIDE,23,F,Knife,14,26.905295,80.969391
14114,2021-08-11,13:06,Jaipur,203,FIREARM OFFENSE,23,M,Explosives,18,26.952567,75.985343
14115,2021-08-11,10:02,Mumbai,158,PUBLIC INTOXICATION,79,F,None,11,18.986002,72.859109
14116,2021-08-11,09:01,Pune,518,VANDALISM,34,F,Other,19,18.45277,73.787384
14117,2021-08-11,07:38,Bangalore,298,COUNTERFEITING,43,M,Firearm,6,13.075523,77.526212
14118,2021-08-11,02:23,Delhi,495,ARSON,49,M,Explosives,18,28.708528,77.219012
14119,2021-08-11,06:57,Mumbai,410,VEHICLE - STOLEN,42,F,Other,18,18.945686,72.86591
14120,2021-08-11,02:13,Pune,360,SEXUAL ASSAULT,50,F,None,16,18.548182,73.922838
14121,2021-08-11,06:15,Mumbai,145,BURGLARY,33,M,Explosives,12,19.032842,72.77696
14122,2021-08-11,16:15,Mumbai,441,IDENTITY THEFT,16,M,Blunt Object,16,19.154302,72.899653
14123,2021-08-11,14:37,Vasai,422,DRUG OFFENSE,72,M,Blunt Object,9,19.387034,72.939995
14124,2021-08-11,19:52,Hyderabad,531,TRAFFIC VIOLATION,30,F,Knife,19,17.322992,78.430358
14125,2021-08-11,04:52,Delhi,213,EXTORTION,68,M,Knife,2,28.641328,76.85653
14126,2021-08-11,13:55,Delhi,370,KIDNAPPING,66,M,Other,11,28.689017,77.053944
14127,2021-08-11,03:16,Chennai,456,COUNTERFEITING,56,F,Poison,16,13.124731,80.175049
14128,2021-08-11,04:44,Ahmedabad,540,COUNTERFEITING,79,F,None,18,23.020128,72.676872
14129,2021-08-11,21:18,Delhi,469,CYBERCRIME,70,F,Blunt Object,12,28.561772,77.062012
14130,2021-08-11,12:15,Delhi,482,ROBBERY,35,F,Blunt Object,5,28.862699,77.283048
14131,2021-08-11,22:41,Chennai,525,ROBBERY,68,F,Poison,9,13.113764,80.173702
14132,2021-08-11,17:42,Bangalore,320,BURGLARY,70,M,Explosives,7,12.960401,77.522144
14133,2021-08-11,03:48,Mumbai,426,COUNTERFEITING,10,F,Knife,12,19.029232,72.893657
14134,2021-08-11,11:05,Bangalore,167,DRUG OFFENSE,76,F,None,19,12.964839,77.584874
14135,2021-08-11,17:16,Bhopal,517,VANDALISM,11,F,Explosives,17,23.384381,77.305946
14136,2021-08-11,04:50,Lucknow,517,DRUG OFFENSE,52,F,Other,7,26.842997,81.046017
14137,2021-08-12,08:41,Jaipur,277,COUNTERFEITING,33,M,Knife,15,26.821452,75.811735
14138,2021-08-12,17:37,Pune,252,EXTORTION,64,M,Blunt Object,16,18.615679,73.938592
14139,2021-08-12,07:53,Chennai,374,CYBERCRIME,33,M,Blunt Object,1,13.135063,80.233486
14140,2021-08-12,09:11,Bangalore,372,ILLEGAL POSSESSION,37,F,Poison,18,12.957828,77.663048
14141,2021-08-12,21:03,Ghaziabad,330,FIREARM OFFENSE,66,F,Knife,3,28.654222,77.391381
14142,2021-08-12,00:02,Jaipur,277,DOMESTIC VIOLENCE,69,F,Knife,15,26.964966,75.725156
14143,2021-08-12,02:31,Ahmedabad,153,TRAFFIC VIOLATION,22,F,Blunt Object,19,23.052481,72.657865
14144,2021-08-12,23:01,Meerut,406,DOMESTIC VIOLENCE,29,F,Explosives,6,29.020317,77.706094
14145,2021-08-12,01:51,Jaipur,187,SEXUAL ASSAULT,30,F,Other,13,26.914344,75.783799
14146,2021-08-12,18:38,Visakhapatnam,301,SHOPLIFTING,42,F,Knife,16,17.729147,83.335163
14147,2021-08-12,20:32,Mumbai,393,ILLEGAL POSSESSION,24,M,Poison,8,19.131694,72.881001
14148,2021-08-12,04:43,Chennai,131,HOMICIDE,34,F,None,7,12.926409,80.153903
14149,2021-08-12,04:26,Lucknow,535,EXTORTION,35,F,Explosives,9,26.902893,81.001658
14150,2021-08-12,15:38,Chennai,370,KIDNAPPING,45,M,Explosives,15,13.057465,80.283755
14151,2021-08-12,06:33,Kolkata,305,TRAFFIC VIOLATION,55,F,Blunt Object,5,22.513702,88.370797
14152,2021-08-12,04:12,Mumbai,249,ROBBERY,34,F,Blunt Object,18,19.060242,72.860951
14153,2021-08-12,00:28,Bangalore,319,ROBBERY,43,M,Other,1,13.012343,77.662553
14154,2021-08-12,22:43,Delhi,358,SHOPLIFTING,43,F,None,15,28.756988,76.816959
14155,2021-08-12,06:23,Kanpur,477,KIDNAPPING,34,F,Other,11,26.565879,80.343783
14156,2021-08-12,12:43,Kolkata,398,ROBBERY,49,F,Knife,18,22.570472,88.482796
14157,2021-08-12,12:09,Ludhiana,185,SHOPLIFTING,30,M,Other,15,30.852402,75.823302
14158,2021-08-12,06:14,Mumbai,588,FIREARM OFFENSE,33,M,Explosives,3,19.019224,72.85166
14159,2021-08-12,14:36,Chennai,282,ILLEGAL POSSESSION,70,F,None,9,12.974887,80.264518
14160,2021-08-12,11:19,Bangalore,583,ROBBERY,65,M,Knife,18,12.959507,77.60901
14161,2021-08-13,05:36,Bhopal,397,DOMESTIC VIOLENCE,27,M,None,2,23.317518,77.440124
14162,2021-08-13,12:21,Lucknow,340,VEHICLE - STOLEN,63,F,Explosives,4,26.783764,80.958266
14163,2021-08-13,04:19,Bangalore,273,IDENTITY THEFT,71,M,None,7,13.023181,77.606458
14164,2021-08-13,09:20,Bangalore,273,BURGLARY,22,M,Firearm,10,13.077022,77.567009
14165,2021-08-13,04:02,Ahmedabad,279,ASSAULT,27,F,Blunt Object,19,23.069205,72.533635
14166,2021-08-13,18:15,Delhi,445,BURGLARY,71,M,None,10,28.730657,77.144953
14167,2021-08-13,01:49,Delhi,398,VANDALISM,24,F,Explosives,8,28.8429,77.059098
14168,2021-08-13,18:16,Pune,473,SHOPLIFTING,34,M,Knife,12,18.566778,73.830039
14169,2021-08-13,09:59,Kanpur,282,FRAUD,67,F,None,14,26.418663,80.219799
14170,2021-08-13,11:15,Hyderabad,564,IDENTITY THEFT,52,M,Knife,11,17.3315,78.503666
14171,2021-08-13,01:40,Bangalore,540,VEHICLE - STOLEN,34,F,Knife,1,13.035781,77.50055
14172,2021-08-13,21:09,Lucknow,184,VANDALISM,22,M,None,16,26.793474,81.012203
14173,2021-08-13,15:33,Surat,208,PUBLIC INTOXICATION,12,M,Knife,9,21.106009,72.785044
14174,2021-08-13,11:16,Bhopal,566,TRAFFIC VIOLATION,66,F,None,10,23.36626,77.402361
14175,2021-08-13,15:10,Delhi,325,ILLEGAL POSSESSION,70,F,Explosives,2,28.806465,77.159298
14176,2021-08-13,20:20,Kolkata,231,ASSAULT,69,F,Knife,5,22.593703,88.482012
14177,2021-08-13,14:53,Ahmedabad,176,FRAUD,66,M,Blunt Object,7,23.034951,72.694861
14178,2021-08-13,17:54,Kolkata,224,ROBBERY,71,F,Explosives,4,22.684402,88.340767
14179,2021-08-13,02:23,Kolkata,545,ROBBERY,63,M,Blunt Object,9,22.50347,88.407589
14180,2021-08-13,21:03,Ahmedabad,237,DRUG OFFENSE,46,M,Firearm,9,23.05841,72.641764
14181,2021-08-13,07:28,Ghaziabad,372,FRAUD,54,F,Knife,12,28.733556,77.537555
14182,2021-08-13,19:47,Delhi,470,BURGLARY,59,F,Poison,6,28.575805,76.811125
14183,2021-08-13,06:05,Bangalore,110,IDENTITY THEFT,17,F,Explosives,9,13.019634,77.510358
14184,2021-08-13,11:01,Bangalore,355,KIDNAPPING,46,F,Poison,14,13.061932,77.57263
14185,2021-08-14,17:24,Delhi,339,VANDALISM,17,F,Explosives,19,28.54839,77.052264
14186,2021-08-14,12:51,Nashik,172,TRAFFIC VIOLATION,69,F,Firearm,1,20.000644,73.70772
14187,2021-08-14,09:48,Delhi,133,COUNTERFEITING,54,M,None,6,28.709233,76.865326
14188,2021-08-14,01:36,Agra,488,ARSON,20,M,Other,17,27.170343,78.086269
14189,2021-08-14,15:39,Mumbai,598,FRAUD,60,M,Knife,19,19.145831,72.832312
14190,2021-08-14,03:20,Nashik,547,FIREARM OFFENSE,15,M,None,19,20.020686,73.829658
14191,2021-08-14,03:15,Mumbai,453,PUBLIC INTOXICATION,18,F,Explosives,15,18.984698,72.801444
14192,2021-08-14,23:30,Hyderabad,268,VANDALISM,42,F,Firearm,16,17.490754,78.561991
14193,2021-08-14,12:33,Chennai,276,FRAUD,35,F,Blunt Object,11,12.965246,80.199398
14194,2021-08-14,19:04,Kolkata,146,IDENTITY THEFT,12,F,Firearm,10,22.63586,88.459106
14195,2021-08-14,13:25,Mumbai,331,KIDNAPPING,23,F,Knife,7,19.144912,72.912459
14196,2021-08-14,03:09,Hyderabad,249,PUBLIC INTOXICATION,15,M,Firearm,6,17.446889,78.417656
14197,2021-08-14,15:15,Chennai,529,CYBERCRIME,66,F,Poison,15,12.924289,80.236533
14198,2021-08-14,13:29,Jaipur,134,DRUG OFFENSE,77,F,Knife,12,26.906297,75.906969
14199,2021-08-14,01:30,Surat,255,DOMESTIC VIOLENCE,15,M,Explosives,11,21.201188,72.848061
14200,2021-08-14,06:54,Bangalore,486,CYBERCRIME,79,F,Explosives,1,13.038599,77.691021
14201,2021-08-14,04:48,Mumbai,142,IDENTITY THEFT,20,F,Blunt Object,19,19.191637,72.811719
14202,2021-08-14,16:18,Thane,420,COUNTERFEITING,59,F,Poison,18,19.158891,73.119694
14203,2021-08-14,11:40,Patna,147,ROBBERY,64,F,Explosives,10,25.620017,85.130451
14204,2021-08-14,23:52,Bangalore,564,DOMESTIC VIOLENCE,20,F,Explosives,3,12.96251,77.696257
14205,2021-08-14,07:53,Agra,524,COUNTERFEITING,16,F,Firearm,9,27.15304,78.051358
14206,2021-08-14,06:51,Mumbai,279,ILLEGAL POSSESSION,39,F,Explosives,11,19.138807,72.911654
14207,2021-08-14,02:09,Delhi,162,ILLEGAL POSSESSION,27,M,Poison,6,28.692864,77.298786
14208,2021-08-14,23:28,Mumbai,453,PUBLIC INTOXICATION,59,F,Other,7,19.026308,72.79595
14209,2021-08-15,02:36,Chennai,290,DOMESTIC VIOLENCE,55,M,Poison,12,13.114262,80.15211
14210,2021-08-15,11:06,Bangalore,107,TRAFFIC VIOLATION,33,F,Explosives,1,13.008034,77.671921
14211,2021-08-15,17:38,Delhi,485,IDENTITY THEFT,51,F,Other,4,28.779108,77.040892
14212,2021-08-15,04:10,Ahmedabad,340,SHOPLIFTING,45,M,Other,3,23.091416,72.562412
14213,2021-08-15,07:37,Delhi,269,FRAUD,48,M,Poison,16,28.777878,77.025999
14214,2021-08-15,20:37,Mumbai,151,PUBLIC INTOXICATION,62,F,Firearm,17,19.066231,72.913104
14215,2021-08-15,16:34,Pune,208,EXTORTION,70,F,Poison,7,18.627676,73.793867
14216,2021-08-15,19:34,Delhi,375,ILLEGAL POSSESSION,20,F,Blunt Object,7,28.6827,76.831132
14217,2021-08-15,20:40,Pune,365,TRAFFIC VIOLATION,73,F,Other,2,18.599024,73.840307
14218,2021-08-15,14:39,Visakhapatnam,330,ARSON,23,M,Explosives,4,17.799023,83.330949
14219,2021-08-15,11:29,Kanpur,296,IDENTITY THEFT,42,M,Blunt Object,2,26.404471,80.304379
14220,2021-08-15,03:45,Hyderabad,317,BURGLARY,20,F,Other,17,17.315662,78.450014
14221,2021-08-15,03:22,Chennai,377,IDENTITY THEFT,53,F,Poison,14,13.054055,80.240502
14222,2021-08-15,08:04,Ludhiana,388,ROBBERY,69,F,Poison,14,30.926521,75.88562
14223,2021-08-15,05:11,Bangalore,342,VEHICLE - STOLEN,22,F,Firearm,11,12.982193,77.613084
14224,2021-08-15,15:24,Patna,109,IDENTITY THEFT,31,F,Poison,11,25.622045,85.173681
14225,2021-08-15,20:45,Mumbai,130,ROBBERY,48,F,Poison,13,19.100231,72.868674
14226,2021-08-15,05:20,Delhi,335,SEXUAL ASSAULT,40,F,Other,7,28.55774,76.980142
14227,2021-08-15,21:25,Pune,215,BURGLARY,45,F,Blunt Object,9,18.595833,73.814262
14228,2021-08-15,07:19,Mumbai,115,KIDNAPPING,22,F,Other,9,19.181098,72.798854
14229,2021-08-15,00:39,Pune,481,ILLEGAL POSSESSION,51,F,Other,10,18.603666,73.892232
14230,2021-08-15,16:39,Lucknow,119,ASSAULT,10,F,Explosives,15,26.771374,80.882476
14231,2021-08-15,16:44,Surat,307,ROBBERY,46,F,Firearm,5,21.244538,72.798823
14232,2021-08-15,10:56,Delhi,324,HOMICIDE,51,M,Other,15,28.816173,76.804251
14233,2021-08-16,09:03,Delhi,145,CYBERCRIME,28,M,None,11,28.511987,77.003092
14234,2021-08-16,04:28,Pune,476,ASSAULT,54,F,Other,14,18.598352,73.946699
14235,2021-08-16,10:46,Bangalore,120,DRUG OFFENSE,63,M,Explosives,10,13.074501,77.508784
14236,2021-08-16,02:12,Visakhapatnam,260,VEHICLE - STOLEN,38,M,Explosives,18,17.769498,83.250945
14237,2021-08-16,14:51,Thane,183,PUBLIC INTOXICATION,68,F,Other,4,19.290983,73.023303
14238,2021-08-16,10:27,Nashik,512,COUNTERFEITING,65,M,Knife,4,19.951682,73.760148
14239,2021-08-16,14:41,Delhi,497,DOMESTIC VIOLENCE,36,F,Explosives,13,28.509976,77.184612
14240,2021-08-16,03:21,Kolkata,479,DOMESTIC VIOLENCE,34,F,Explosives,11,22.621704,88.398978
14241,2021-08-16,02:29,Jaipur,286,TRAFFIC VIOLATION,48,M,Poison,3,26.973651,75.971931
14242,2021-08-16,13:15,Delhi,118,KIDNAPPING,29,F,Firearm,8,28.653677,77.056521
14243,2021-08-16,04:13,Kolkata,350,DRUG OFFENSE,36,F,Other,16,22.624265,88.321628
14244,2021-08-16,03:49,Bangalore,284,KIDNAPPING,51,F,Poison,8,13.01123,77.690473
14245,2021-08-16,08:18,Hyderabad,233,DRUG OFFENSE,33,F,Knife,8,17.487556,78.584345
14246,2021-08-16,16:49,Delhi,578,ILLEGAL POSSESSION,49,F,None,8,28.528964,77.148507
14247,2021-08-16,00:24,Ahmedabad,365,FRAUD,58,M,None,18,23.084149,72.540365
14248,2021-08-16,14:39,Agra,524,SHOPLIFTING,79,F,Firearm,11,27.169316,78.16445
14249,2021-08-16,08:05,Chennai,575,SHOPLIFTING,25,M,Knife,1,13.092074,80.158174
14250,2021-08-16,21:49,Thane,466,VEHICLE - STOLEN,59,F,None,15,19.168869,73.018609
14251,2021-08-16,18:40,Bangalore,286,ILLEGAL POSSESSION,60,F,None,15,13.018076,77.658463
14252,2021-08-16,05:08,Nagpur,566,FRAUD,44,M,Blunt Object,16,21.177506,79.168006
14253,2021-08-16,04:46,Jaipur,429,HOMICIDE,22,F,Poison,16,26.881284,75.948741
14254,2021-08-16,10:52,Ahmedabad,308,VANDALISM,44,F,Explosives,10,23.067965,72.687846
14255,2021-08-16,05:35,Hyderabad,543,COUNTERFEITING,56,F,Knife,9,17.355043,78.483742
14256,2021-08-16,19:40,Bangalore,112,ASSAULT,51,F,Poison,15,13.070734,77.64121
14257,2021-08-17,03:44,Bhopal,201,FIREARM OFFENSE,69,F,Blunt Object,17,23.234442,77.453182
14258,2021-08-17,04:17,Ahmedabad,580,ROBBERY,56,F,None,17,23.03023,72.524394
14259,2021-08-17,05:32,Lucknow,122,ARSON,38,F,Firearm,4,26.767793,80.869446
14260,2021-08-17,09:21,Ahmedabad,447,SHOPLIFTING,76,F,Knife,16,23.084576,72.635045
14261,2021-08-17,19:08,Hyderabad,269,SHOPLIFTING,37,F,Knife,18,17.313413,78.556032
14262,2021-08-17,08:29,Hyderabad,381,VEHICLE - STOLEN,68,M,Explosives,7,17.492671,78.452633
14263,2021-08-17,12:46,Hyderabad,540,IDENTITY THEFT,46,F,Explosives,7,17.49042,78.515418
14264,2021-08-17,16:59,Lucknow,456,ROBBERY,13,F,Explosives,4,26.805747,80.916178
14265,2021-08-17,05:24,Bangalore,421,KIDNAPPING,19,M,Blunt Object,15,13.032975,77.645819
14266,2021-08-17,22:21,Kolkata,590,ILLEGAL POSSESSION,36,F,None,19,22.630805,88.364054
14267,2021-08-17,16:20,Pune,146,SHOPLIFTING,71,F,Firearm,6,18.484224,73.927
14268,2021-08-17,21:18,Thane,593,PUBLIC INTOXICATION,75,M,Explosives,10,19.17829,73.035202
14269,2021-08-17,07:29,Ahmedabad,354,DOMESTIC VIOLENCE,63,F,None,12,23.046684,72.540517
14270,2021-08-17,13:58,Pune,446,EXTORTION,75,F,Knife,9,18.559805,73.851801
14271,2021-08-17,08:00,Visakhapatnam,187,FRAUD,66,F,Poison,12,17.675089,83.224189
14272,2021-08-17,17:37,Pune,443,TRAFFIC VIOLATION,23,M,Explosives,3,18.617286,73.947539
14273,2021-08-17,12:59,Mumbai,461,TRAFFIC VIOLATION,33,F,Poison,15,18.950208,72.928075
14274,2021-08-17,20:07,Meerut,497,SHOPLIFTING,67,F,None,16,28.999403,77.630871
14275,2021-08-17,07:09,Srinagar,415,COUNTERFEITING,64,M,Other,8,34.137613,74.919278
14276,2021-08-17,08:57,Ludhiana,358,FIREARM OFFENSE,31,F,Explosives,8,30.8793,75.883042
14277,2021-08-17,11:12,Bhopal,529,SHOPLIFTING,38,F,Poison,3,23.230082,77.456601
14278,2021-08-17,00:18,Visakhapatnam,503,DRUG OFFENSE,29,F,Poison,9,17.685584,83.314731
14279,2021-08-17,04:23,Mumbai,568,COUNTERFEITING,50,M,Blunt Object,7,19.058728,72.786516
14280,2021-08-17,06:49,Hyderabad,419,IDENTITY THEFT,53,F,None,11,17.485477,78.442834
14281,2021-08-18,16:19,Kanpur,492,SHOPLIFTING,15,M,Blunt Object,6,26.575434,80.23805
14282,2021-08-18,16:03,Bhopal,518,ROBBERY,12,F,Poison,13,23.234105,77.302448
14283,2021-08-18,00:58,Lucknow,328,DRUG OFFENSE,43,F,Knife,7,26.781185,80.953049
14284,2021-08-18,23:55,Hyderabad,165,FRAUD,52,F,None,11,17.441061,78.465438
14285,2021-08-18,07:23,Patna,273,EXTORTION,66,F,Firearm,8,25.605892,85.135659
14286,2021-08-18,13:11,Mumbai,405,SEXUAL ASSAULT,11,F,Blunt Object,2,18.992568,72.794655
14287,2021-08-18,15:02,Delhi,432,SHOPLIFTING,78,F,Knife,2,28.783585,76.866142
14288,2021-08-18,19:59,Kolkata,557,BURGLARY,16,F,Knife,14,22.572789,88.480164
14289,2021-08-18,19:13,Delhi,465,VEHICLE - STOLEN,73,F,Blunt Object,1,28.588641,77.136706
14290,2021-08-18,11:13,Indore,259,SHOPLIFTING,53,F,Other,1,22.746563,75.81686
14291,2021-08-18,02:28,Srinagar,314,DOMESTIC VIOLENCE,47,X,Knife,13,34.057492,74.925203
14292,2021-08-18,14:26,Mumbai,419,ROBBERY,20,F,Knife,15,19.117164,72.940969
14293,2021-08-18,07:16,Delhi,430,ROBBERY,44,F,Knife,1,28.634617,77.01323
14294,2021-08-18,08:40,Mumbai,185,ASSAULT,72,M,Poison,12,18.944372,72.943882
14295,2021-08-18,03:53,Nagpur,120,IDENTITY THEFT,13,M,Blunt Object,7,21.211402,79.072381
14296,2021-08-18,10:13,Mumbai,442,CYBERCRIME,38,M,Blunt Object,2,19.10818,72.947693
14297,2021-08-18,19:55,Mumbai,519,ASSAULT,32,M,Poison,13,19.128111,72.803899
14298,2021-08-18,19:55,Kolkata,204,HOMICIDE,47,F,None,2,22.500973,88.453687
14299,2021-08-18,22:24,Surat,408,HOMICIDE,44,F,None,17,21.11281,72.851549
14300,2021-08-18,18:03,Hyderabad,233,SHOPLIFTING,68,M,Knife,7,17.436081,78.54253
14301,2021-08-18,09:42,Bangalore,169,BURGLARY,15,F,None,19,12.98298,77.525309
14302,2021-08-18,12:02,Bangalore,430,HOMICIDE,21,X,Firearm,17,13.041062,77.673762
14303,2021-08-18,00:30,Jaipur,321,VANDALISM,21,F,Explosives,12,26.818683,75.768263
14304,2021-08-18,10:37,Mumbai,311,IDENTITY THEFT,46,F,Other,19,18.928633,72.770779
14305,2021-08-19,14:48,Chennai,341,DRUG OFFENSE,66,M,None,16,13.089705,80.223692
14306,2021-08-19,19:52,Ludhiana,285,FIREARM OFFENSE,53,M,None,19,30.920648,75.801392
14307,2021-08-19,01:15,Hyderabad,281,KIDNAPPING,47,M,Poison,16,17.354852,78.483289
14308,2021-08-19,04:23,Lucknow,494,ILLEGAL POSSESSION,76,F,None,6,26.81882,80.9761
14309,2021-08-19,13:19,Bhopal,151,PUBLIC INTOXICATION,33,M,Firearm,1,23.348544,77.419543
14310,2021-08-19,23:03,Kolkata,308,ILLEGAL POSSESSION,72,M,Explosives,10,22.625067,88.488157
14311,2021-08-19,23:41,Thane,256,TRAFFIC VIOLATION,69,M,Other,17,19.181992,72.998641
14312,2021-08-19,04:17,Hyderabad,277,FIREARM OFFENSE,36,M,Explosives,13,17.358581,78.549006
14313,2021-08-19,23:56,Ahmedabad,568,KIDNAPPING,54,M,Explosives,12,23.030329,72.514033
14314,2021-08-19,19:55,Agra,222,FIREARM OFFENSE,42,M,Firearm,5,27.100105,78.125614
14315,2021-08-19,05:39,Pune,567,VANDALISM,59,M,Blunt Object,14,18.538035,73.866385
14316,2021-08-19,00:47,Kalyan,396,ILLEGAL POSSESSION,59,M,Knife,6,19.222546,73.182773
14317,2021-08-19,00:14,Ahmedabad,241,DRUG OFFENSE,25,M,Firearm,15,23.092589,72.686428
14318,2021-08-19,23:49,Kolkata,579,HOMICIDE,69,F,Firearm,10,22.534996,88.411242
14319,2021-08-19,20:09,Delhi,438,ILLEGAL POSSESSION,71,F,Other,1,28.5976,76.902775
14320,2021-08-19,17:11,Surat,144,KIDNAPPING,79,M,None,3,21.215778,72.70908
14321,2021-08-19,20:30,Surat,338,ARSON,66,M,Blunt Object,3,21.279361,72.800746
14322,2021-08-19,01:30,Faridabad,315,COUNTERFEITING,61,F,Firearm,4,28.351514,77.301616
14323,2021-08-19,09:24,Kalyan,219,FRAUD,79,F,Other,1,19.217992,73.199659
14324,2021-08-19,06:01,Ludhiana,128,ARSON,26,M,Other,9,30.943243,75.806493
14325,2021-08-19,03:06,Delhi,474,DOMESTIC VIOLENCE,35,M,Other,6,28.843752,77.291782
14326,2021-08-19,18:54,Indore,292,FRAUD,33,M,Poison,17,22.714747,75.765625
14327,2021-08-19,17:41,Thane,184,PUBLIC INTOXICATION,68,M,Knife,9,19.172431,73.046041
14328,2021-08-19,08:40,Chennai,495,FIREARM OFFENSE,52,M,Blunt Object,10,13.018128,80.16578
14329,2021-08-20,17:05,Jaipur,158,SEXUAL ASSAULT,67,F,Poison,1,26.899254,75.705424
14330,2021-08-20,10:04,Hyderabad,445,ARSON,65,M,Explosives,8,17.418172,78.472591
14331,2021-08-20,10:22,Delhi,122,ILLEGAL POSSESSION,71,M,Blunt Object,14,28.645699,77.094243
14332,2021-08-20,05:51,Kanpur,371,IDENTITY THEFT,61,M,Knife,11,26.590765,80.460758
14333,2021-08-20,14:21,Delhi,249,EXTORTION,50,F,Knife,1,28.777001,77.178171
14334,2021-08-20,21:19,Hyderabad,265,IDENTITY THEFT,45,F,Poison,17,17.546633,78.428526
14335,2021-08-20,02:27,Mumbai,457,ROBBERY,11,M,None,16,18.996581,72.819551
14336,2021-08-20,22:02,Kolkata,173,VANDALISM,31,F,None,12,22.537558,88.460374
14337,2021-08-20,05:10,Mumbai,309,BURGLARY,75,F,Blunt Object,5,19.082471,72.767439
14338,2021-08-20,17:43,Bangalore,314,BURGLARY,20,M,Knife,4,12.971008,77.565087
14339,2021-08-20,14:08,Delhi,289,FIREARM OFFENSE,27,F,Poison,17,28.708339,77.059005
14340,2021-08-20,17:37,Srinagar,515,ASSAULT,52,M,Knife,1,34.148862,74.770307
14341,2021-08-20,05:34,Kolkata,386,VANDALISM,18,M,None,9,22.645497,88.471092
14342,2021-08-20,22:14,Surat,105,PUBLIC INTOXICATION,48,M,Explosives,8,21.249294,72.750513
14343,2021-08-20,18:20,Pune,556,TRAFFIC VIOLATION,66,M,Other,18,18.557488,73.918934
14344,2021-08-20,06:51,Pune,112,DOMESTIC VIOLENCE,31,M,Explosives,13,18.634718,73.89018
14345,2021-08-20,11:04,Pune,430,SHOPLIFTING,48,M,Other,19,18.504975,73.784942
14346,2021-08-20,23:44,Surat,253,SEXUAL ASSAULT,33,F,Blunt Object,3,21.222103,72.883871
14347,2021-08-20,09:19,Jaipur,462,DRUG OFFENSE,52,M,Explosives,5,26.904502,75.861103
14348,2021-08-20,11:28,Mumbai,339,DOMESTIC VIOLENCE,70,M,Other,13,19.14009,72.807756
14349,2021-08-20,18:47,Bangalore,553,SEXUAL ASSAULT,48,M,Blunt Object,8,13.027025,77.586505
14350,2021-08-20,17:42,Hyderabad,468,PUBLIC INTOXICATION,72,M,Knife,17,17.458294,78.490607
14351,2021-08-20,19:41,Delhi,533,ROBBERY,49,F,Firearm,11,28.753192,76.808815
14352,2021-08-20,11:15,Ludhiana,380,KIDNAPPING,43,M,Blunt Object,6,30.94614,75.803421
14353,2021-08-21,05:41,Kolkata,396,DRUG OFFENSE,21,M,Other,7,22.636621,88.355454
14354,2021-08-21,18:46,Bangalore,302,VEHICLE - STOLEN,56,M,Blunt Object,6,12.910381,77.655904
14355,2021-08-21,03:20,Chennai,161,COUNTERFEITING,63,M,Knife,4,12.913019,80.260042
14356,2021-08-21,14:21,Kalyan,406,SEXUAL ASSAULT,69,F,Other,2,19.29559,73.15978
14357,2021-08-21,04:56,Mumbai,426,CYBERCRIME,56,M,Knife,7,18.913618,72.807241
14358,2021-08-21,20:19,Delhi,237,FIREARM OFFENSE,10,M,Poison,5,28.552483,77.158703
14359,2021-08-21,17:10,Hyderabad,246,PUBLIC INTOXICATION,72,M,Firearm,5,17.345964,78.381903
